"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
14566	"Ne ne fis mal a Roonel,"	"Je n'ai pas non plus fait de mal à Ronel,"															
14567	"Ne a mon compere Ysengrin ;"	"ni à mon compère Ysengrin."															
14568	"A tort m'encusent mi voisin."	"Mes voisins m'accusent à tort."															
14569	"Las ! tant mal servise ai fait,"	"Hélas ! Ai-je rendu de si mauvais services"															
14570	"Por bien fet ai je le col frait ?"	"aurai-je le cou brisé pour voir bien agi ?"															
14571	"Chascun le set, n'i a si fort"	"Chacun le sait bien que quiconque, si puissant soit-il,"															
14572	"Que tel ne peche qui encort."	"puisse être puni même sans avoir pêché."	"Que tel ne peche qui encort"	"peut être puni même sans avoir pêché"													
14573	"Male grace m'a Diex donnee,"	"Dieu m'a privé de sa grâce,"															
14574	"Mes itex est ma destinee"	"tel est mon destin"															
14575	"Que ja si bien ne savrai fere"	"qu'aussi bien que je puisse faire,"															
14576	"Que il ne m'en viengne contrere."	"il ne m'arrive que des ennuis."															
14577	"Certes mout ai a tex bien fait"	"J'ai pourtant fait beaucoup de bien à tous ceux"															
14578	"Qui or m'ont porchacié cest plait."	"qui me font maintenant ce procès."															
14579	"Vos m'en avez or fet semondre,"	"Vous m'avez donc fait comparaître,"															
14580	"Et je sui tout prest de respondre"	"mais je suis entièrement prêt à me défendre face"															
14581	"Au jugement de vostre cort. »"	"au jugement de votre cour. »"															
14582	"A cest mot Ysengrin acort"	"À ces mots, Ysengrin accourt"															
14583	"Devant le roi entre les autres,"	"devant le roi avec les autres :"															
14584	"Et Rooniax li fel, li viautres,"	"Ronel le vautre, un vrai félon,"															
14585	"La mesenge et Tybert li chaz,"	"la mésange, Tibert le chat,"															
14586	"Et Brun qui est de grant porchaz,"	"Brun, en grand instigateur,"	"de grant porchaz"	"en grand instigateur"													
14587	"Dame Rousete la geline"	"dame Roussette la poule,"															
14588	"Et dame Pinte sa voisine"	"dame Pinte sa voisine"															
14589	"Qui soloit pondre les oes gros,"	"qui pond toujours de gros œufs,"															
14590	"Et sire Chantecler li cos."	"et seigneur Chantecler le coq."															
14591	"Tant font devant le roi lor plainte,"	"Tous se plaignent si fort devant le roi,"															
14592	"N'i a mestier parole fainte."	"que toute parole trompeuse est superflue."															
14593	"Renart se saigne a main esclenche,"	"Renart se signe de la main gauche,"						"x"									
14594	"Bien voit que n'i a mestier guenche ;"	"car il voit bien qu'il est inutile de se dérober."															
14595	"Or li covient grant reson rendre,"	"Il lui faut maintenant se rendre à la raison,"															
14596	"Grant peor a qu'en ne le pende."	"il a grand-peur qu'on le pende."															
14597	"S'or ne set Renart de barat,"	"Mais si Renart est à cours de ruse,"															
14598	"Mar acointa Tybert le chat,"	"malheur à lui d'avoir croisé Tibert le chat,"	"Mar acointa Tybert le chat"	"malheur à lui d'avoir croisé Tibert le chat"													
14599	"C'or est chaüz en males mains."	"c'est qu'il est vraiment dans de sales draps."															
14600	"Mout sera bon rectorieins,"	"Ce sera vraiment un bon rhétoricien,"															
14601	"Se il sanz perte s'en eschape,"	"s'il en réchapper sans dommage,"															
14602	"Sanz taillier chaperon ou chape."	"et sans se faire tailler le chaperon ou le manteau."	"Sanz taillier chaperon ou chape"	"et sans se faire tailler le chaperon ou le manteau"													
14603	"La n'ot mestier parole fainte,"	"L'heure n'est plus aux mensonges,"															
14604	"De Renart font au roi complainte ;"	"car ils se plaignent tous de Renart au roi."															
14605	"Et de tantes s'ot escuser"	"Il s'entend accusé par tant de gens"														"escuser"	
14606	"Qu'a painnes se pot escuser."	"qu'il ne pourra se justifier qu'avec peine."															
14607	"Ce dist Nobles : « Que vos est vis ? »"	"Noble dit : « Qu'en pensez-vous ? »"						"x"									
14608	"Renart respont : « Il m'est avis,"	"Renart répond : « Il me semble,"															
14609	"Si que bien connois par raison,"	"autant que je sache, en toute raison,"	"Si que bien connois par raison"	"autant que je sache, en toute raison"													
14610	"Vers vos n'ai nule mespraison,"	"que je n'ai jamais mal agi contre eux."	"vos"	"eux / vous"													
14611	"Sire, sire, ce dit Renart,"	"Seigneur, sire, lui dit Renart,"															
14612	"Ja Diex n'en ait en m'ame part,"	"que Dieu ignore mon âme à jamais,"	"Ja Diex n'en ait en m'ame part"	"que Dieu ignore mon âme à jamais"													
14613	"Se je de mesfet me recort"	"si je devais me souvenir d'un méfait"															
14614	"Dont envers vos eüsse tort."	"qui leur ait causé du tort."	"vos"	"leur / vous"													
14615	"Il diront que que il voudront,"	"Ils diront ce qu'ils voudront,"															
14616	"Mes por ce riens ne me toudront,"	"mais ils ne pourront pas m'enlever ça,"	"Mes por ce riens ne me toudront"	"mais ils ne pourront pas m'enlever ça"													
14617	"S'il vos plest, qui mesires estes."	"si tel est votre souhait, vous qui êtes mon seigneur."															
14618	"Je sui sordit de plusors bestes ;"	"Plusieurs bêtes m'ont sali,"															
14619	"A tel ai porté grant honor"	"alors que j'ai fait honneur à ceux-là même"															
14620	"Qui or m'a fet grant desenor."	"qui m'ont fait le plus grand déshonneur."															
14621	"Je sai que li tors n'est pas miens ;"	"Je sais que je ne suis pas dans mon tort,"															
14622	"Toutevoies vaintra li biens."	"de toute façon le bien l'emportera."															
14623	"Onques de riens ne m'entremis"	"Je n'ai jamais rien entrepris"															
14624	"De quoi deüsse estre anemis"	"qui ait pu faire un ennemi"															
14625	"Dant Ysengrin, mon chier compere ;"	"de seigneur Ysengrin, mon cher compère."															
14626	"Mes par l'ame la moie mere,"	"Et je jure sur l'âme de ma mère,"															
14627	"A sa fame ne fis folie ;"	"n'avoir jamais fait de folie avec sa femme."															
14628	"Si l'a mout por moi asaillie,"	"C'est lui qui la harcèle, soi-disant à cause de moi,"	"Si l'a mout por moi asaillie"	"C'est lui qui la harcèle, soi-disant à cause de moi"													
14629	"Et pres sui du mostrer sanz faille"	"je suis prêt à le démontrer sans hésiter,"															
14630	"Ou par juïse ou par bataille,"	"soit par l'ordalie, soit par un duel,"															
14631	"Einssi con l'en esgardera"	"afin que tous le voient,"															
14632	"Et que la cort le jugera. »"	"et que la cour puisse en juger. »"				"x"											
14633	"Isengrin est sailliz en place ;"	"Ysengrin bondit sur place,"			170			"x"		"Le loup accuse"	"2015/04/le-loup-accuse.html"	"https://1.bp.blogspot.com/-uOIMsDU70ms/V-_Sz7anAUI/AAAAAAAAHz0/MyRd90MGdMg9qP-Y_-XTIzji_62TZA-LgCLcB/s320/32i-ysengrin-accuse.gif"					
14634	"Qui que il poïst ne qui que place,"	"que cela dérange ou déplaise,"															
14635	"Sa droiture voudra prover,"	"il veut prouver son bon droit"															
14636	"Tot sanz mençonge controver."	"sans recourir au mensonge."															
14637	"Noble conmande que il die,"	"Noble lui ordonne de parler,"															
14638	"N'i a celui qui contredie :"	"il n'y a personne pour le contredire :"															
14639	"« Renart, dit Ysengrin, entent !"	"« Renart, dit Ysengrin, écoute !"															
14640	"Je sui cil qui son droit atent"	"C'est moi qui attends que justice soit faite"															
14641	"Des granz anuiz que tu as fez,"	"pour tous les ennuis que tu as causés,"															
14642	"Que nos avon ceanz retrez ;"	"et que nous avons relatés ici-même."															
14643	"Ne me sont encor amendé,"	"Je n'ai toujours pas eu réparation"															
14644	"Si l'avoit le roi conmandé."	"alors que le roi te l'avait ordonné."															
14645	"Mout as or fet bestes grever,"	"Tu as fait souffrir trop de bêtes"															
14646	"Ainz que te poïst amener,"	"avant de pouvoir te faire comparaître,"															
14647	"Et des jones et des chanuz"	"tu nous as tous rendu fous,"															
14648	"En as assez por fox tenuz."	"les jeunes comme les vieux."															
14649	"Por ceus qui de toi clamor font"	"Au nom de ceux qui ont porté plainte contre toi"															
14650	"Et qui ci en present s'estont,"	"ici présents,"															
14651	"Par moi qui par toi sui honniz,"	"et pour moi-même que tu as couvert de honte,"															
14652	"Voil que li plez soit hui feniz."	"je veux que ce procès soit expédié aujourd'hui."	"feniz"	"expédié"													
14653	"Par la verité m'en irai,"	"Je m'en tiendrai à la stricte vérité,"															
14654	"Ja se Dex plait, n'en mentirai"	"à Dieu ne plaise que je mente,"															
14655	"Que je n'en die tout le voir"	"je ne dirai que ce qui est vrai"															
14656	"Se je le puis aparcevoir."	"comme j'ai pu le constater."															
14657	"Je n'ai mestier de fere alonge"	"Je n'ai pas besoin de faire de longs discours,"	"fere alonge"	"long discours"													
14658	"Ne de ci controver mençonge ;"	"ni d'inventer des mensonges,"															
14659	"De traïson te prouverons"	"nous te convaincrons de trahison"															
14660	"Si que garant en trouverons,"	"grâce aux témoins que nous trouverons,"															
14661	"Et mosterrai tout par raison"	"et je prouverai de droit"															
14662	"Et felonnie et traïson ;"	"ta perfidie et ta trahison."															
14663	"Bien te savré l'achaison dire,"	"Je saurais en expliquer les circonstances,"	"achaison"	"circonstances"													
14664	"Se t'en voloies escondire. »"	"si jamais tu voulais te disculper. »"	"escondire"	"disculper"													
14665	"Renart respont : « Bien dit avez ;"	"Renart répond : « Fort bien,"															
14666	"Or dites conment le savez. »"	"dites-nous donc ce que vous savez. »"															
14667	"Dist Ysengrin : « Bien le dirai ;"	"Ysengrin répond : « Je le dirai, parfaitement,"															
14668	"Ja voir ne vos en mentirai."	"je ne vous mentirai en aucune façon."															
14669	"Mes comperes estes en loi,"	"Vous êtes mon compère selon la loi,"															
14670	"Si m'avez mené en belloi"	"pourtant vous m'avez fait des injustices"	"mené en belloi"	"fait des injustices"													
14671	"Plus de .C. foiz, que je ne mente ;"	"plus de cent fois, sans mentir."															
14672	"Mainte beste as tu fet dolente,"	"Tu as rendu maintes bêtes malheureuses,"															
14673	"Bien l'ont plusors aparceü"	"nombreux sont ceux qui ont vu"															
14674	"Que mainte foiz m'as deceü."	"toutes les fois où tu m'as trompé."															
14675	"Or sai bien, se cort ne me faut,"	"Sache donc bien, si la cour ne me fait pas défaut,"	"Or sai bien"	"Sache donc bien"													
14676	"Nos sonmes venu a l'asaut."	"que nous sommes venus pour l'assaut final."	"a l'asaut"	"pour l'assaut final"													
14677	"Mout ai par toi mal endurez,"	"J'ai trop souffert à cause de toi,"															
14678	"Mainte foiz t'en es parjurez,"	"tu t'es parjuré maintes fois,"															
14679	"De ma fame m'as maubailli. »"	"et tu m'as causé du tort au sujet de ma femme. »"															
14680	"Ce dist Renart : « Tu as menti ;"	"Renart lui rétorque : « Tu mens,"															
14681	"Onc mal a ta fame ne fis,"	"je n'ai jamais fait de mal à ta femme,"															
14682	"Ne vers toi de riens ne mespris. »"	"ni commis la moindre faute envers toi. »"															
14683	"Dist Ysengrin : « Certes, Renart,"	"Ysengrin dit : « Bien sûr, Renart,"						"x"									
14684	"Jel mosterrai de moie part"	"je vais démontrer quant à moi,"															
14685	"Que vos a force l'assaillistes,"	"que vous l'avez assaillie de force."															
14686	"Au trou trover pas ne faillistes ;"	"Vous n'avez pas raté le trou,"															
14687	"Voiant moi, ou vosist ou non,"	"je vous ai pris sur le fait, que vous le vouliez ou non,"															
14688	"Li batistes vos le crepon."	"vous lui avez battu la croupe,"															
14689	"Mout vos vi bouter et empaindre"	"je vous ai vu pousser, enfoncer,"															
14690	"Et durement la queue estraindre."	"et lui serrer fortement la queue."															
14691	"Illuec la tenis tu por sote,"	"L'avez-vous prise pour une sotte ?"															
14692	"Ne sembloit pas gieu de pelote ;"	"Vous n'aviez pas l'air de jouer à la balle !"															
14693	"Ce ne porroies pas desfendre"	"Vous ne pourrez pas vous en défendre,"															
14694	"Que ne vos veisse descendre,"	"car je vous ai vu descendre,"															
14695	"Et vos braies sus remonter ;"	"puis remonter votre pantalon."															
14696	"Ne m'est honte de raconter,"	"Je n'ai pas honte de le raconter,"															
14697	"Mes se je celer le peüsse,"	"mais si j'avais pu le cacher,"															
14698	"A nului dire nel deüsse. »"	"je ne l'aurais raconté à personne. »"															
14699	"Ce dist Renart : « Ja Diex ne place"	"Renart lui répond : « À Dieu ne plaise"						"x"									
14700	"Que ja tant a nul jor mesface"	"d'avoir ainsi mal agi un jour,"															
14701	"C'aie fet tel descovenue"	"d'avoir causé un tel désagrément"															
14702	"Que ma conmere aie foutue"	"en caressant ma commère"															
14703	"Plus bas de l'ueil, si con vos dites ;"	"plus bas que l'œil, comme vous le dites,"															
14704	"Donques seroie jeu herites."	"je ne serai alors qu'un hérétique."															
14705	"Or puet on bien de fi savoir"	"Mais on sait maintenant de source sûr,"															
14706	"Que vos ne savez honte avoir,"	"que vous n'avez honte de rien,"															
14707	"Que ce avez amenteü"	"puisque vous évoquez"															
14708	"Dont li autre se sont teü."	"ce que les autres ont tu."															
14709	"Mes n'en deüssiez tenir conte"	"Vous n'auriez pas dû en faire un conte"															
14710	"Qu'il vos torne a trop grant honte."	"qui vous couvre de la plus grande honte."															
14711	"Mes bien avez tel chose aprise"	"S'il est une chose que vous avez bien apprise,"															
14712	"Que honte avez ariere mise."	"c'est de ne pas faire preuve de pudeur."	"honte avez ariere mise"	"ne pas faire preuve de pudeur"													
14713	"Bien avez vergoingne abessie"	"Vous avez donc bien soulagé votre vergogne"															
14714	"Qui honiz ainssi t'espousee."	"en déshonorant ainsi votre épouse."															
14715	"Le bouter et le soufachier,"	"Je l'ai effectivement poussée et soulevée,"															
14716	"Fis ge tout por lui aïdier ;"	"j'ai fait tout ce que j'ai pu pour l'aider."															
14717	"Bouter, empaindre me veïstes,"	"Vous m'avez vu pousser et enfoncer,"															
14718	"Bien sai que mal i entendistes ;"	"mais je vois que vous n'avez rien compris."															
14719	"Mes je nel fis se por bien non,"	"Je ne l'ai fait que pour son bien,"															
14720	"Or m'en rendez mal guerredon."	"c'est bien mal me remercier."															
14721	"Jel fis por bien et por franchise ;"	"Je l'ai fait en toute honnêteté,"	"por bien et por franchise"	"en toute honnêteté"													
14722	"Mes or m'en rendez mal servise,"	"mais vous me le rendez bien mal,"															
14723	"Que fox fis quant m'en entremis,"	"j'ai été fou de l'avoir entrepris,"															
14724	"Or en estes mes anemis."	"et maintenant vous êtes devenu mon ennemi."				"x"											
14725	"— Renart, de tant te puez vanter,"	"— Renart, tu peux toujours te vanter,"			171			"x"		"Renart s'explique"	"2015/05/renart-sexplique.html"	"https://1.bp.blogspot.com/-fJaGq_Q_H6M/V-_Sz1a_W1I/AAAAAAAAHz4/wVMtY9rPRPcB-YYZaRmRt4yW2_aS1i6MwCLcB/s320/32j-renart-s-explique.gif"					
14726	"Bien sez a fox messe chanter ;"	"tu sais bien chanter la messe pour les sots,"															
14727	"Ce est bien chose conneüe"	"c'est chose connue"															
14728	"Que mainte beste as deceüe."	"que tu as trompé maintes bêtes."															
14729	"Tu es de tel auctorité"	"Tu as une telle autorité en la matière"	"Tu es de tel auctorité"	"Tu as une telle autorité en la matière"													
14730	"Qu'en toi n'a point de verité."	"qu'il n'y a point de vérité en toi."															
14731	"Tant me conseillas en l'oreille,"	"À force de conseils tu m'a convaincu"	"Tant me conseillas en l'oreille"	"À force de conseils tu m'a convaincu"													
14732	"Entrer me feïs en la seille"	"de monter dans un seau,"															
14733	"Et avaler el puis dedens,"	"pour descendre dans un puits."															
14734	"La male goute aies es dens !"	"Je te souhaite la pire rage de dents !"	"La male goute aies es dens"	"Je te souhaite la pire rage de dents"													
14735	"A toute riens as tu fait honte"	"Tu as déshonoré tant de monde"															
14736	"N'est nus qui en sache le conte."	"que personne ne saurait en faire le compte."															
14737	"Tu deïs qu'ila porroit estre"	"Tu m'as raconté qu'on pouvait y vivre,"															
14738	"Laiens en paradis terrestre,"	"que c'était le paradis terrestre,"															
14739	"Ou il avoit gaaingneries"	"qu'il y avait des fermes,"	"gaaingneries"	"fermes"													
14740	"Et bois et plains et praieries ;"	"des bois, des plaines, des prairies,"															
14741	"Nus ne pooit riens demander"	"et que personne ne pourrait rien demander"															
14742	"Qu'en ne peüst laiens trover,"	"qu'on ne pourrait y trouver."															
14743	"Et qui voloit mengier poissons,"	"Celui qui voulait manger du poisson,"															
14744	"Ou luz ou troites ou saumons,"	"des brochets, des truites ou des saumons,"															
14745	"Tant en avoit con li plaisoit,"	"pouvait en avoir autant qu'il lui plairait."															
14746	"A sa volenté eslisoit ;"	"On se servait à volonté"	"eslisoit"	"se servait / choisissait"													
14747	"De toz biens ert li lieus garniz."	"car l'endroit était fort bien garni."															
14748	"Issi fui par toi escharniz ;"	"Tu t'es bien moqué de moi,"															
14749	"Je cuidai que deïsses voir,"	"je croyais que tu disais vrai,"															
14750	"Mes je ne fis mie savoir."	"mais j'aurais dû savoir."	"Mes je ne fis mie savoir"	"mais j'aurais dû savoir"													
14751	"Mout m'engingnas a icele heure ;"	"Tu m'as bien trompé cette fois là,"															
14752	"El seel entrai sanz demeure,"	"je suis entré dans le seau sans plus attendre,"															
14753	"Et la corde se destoreille,"	"et la corde s'est déroulée."															
14754	"Tu eres ja en l'autre seille ;"	"Tu étais déjà dans l'autre seau,"															
14755	"Je fui pesanz et tu legiers,"	"mais comme je suis plus lourd que toi,"															
14756	"Traïtres es et losengiers,"	"sale traître de trompeur,"															
14757	"Je avalai et tu montas."	"je me suis mis à descendre, et toi tu montais."															
14758	"Quant en mi le puis m'encontras,"	"Quand on s'est croisé au milieu du puits,"															
14759	"Dont fu mes cuers iriez et tains ;"	"j'étais pâle de colère,"	"Dont fu mes cuers iriez et tains"	"j'étais pâle de colère"													
14760	"Mout es de felonie plains."	"tu es vraiment plein de perfidie."															
14761	"Je demandai que tu queroies,"	"Je t'ai demandé ce que tu allais chercher,"															
14762	"Tu me deïs tu t'en aloies,"	"tu m'as répondu que tu t'en allais,"															
14763	"C'est la costume qui avient"	"car telle était la coutume,"															
14764	"Quant li .I. va et l'autre vient ;"	"quand l'un arrive, l'autre part."															
14765	"D'enfer estoies eschapez"	"Tu t'étais échappé de l'enfer,"															
14766	"Et je i remés atrapez,"	"et je m'y retrouvais prisonnier,"															
14767	"Illec remés, tu t'en issis ;"	"je restais là, et tu en sortais,"															
14768	"De moi tel traïson feïs."	"voilà comment tu m'as trahi."															
14769	"Illeques soufri ge mesaise ;"	"J'ai souffert le martyre,"															
14770	"De boivre estoie a grant aise,"	"j'avais de quoi boire à souhait,"															
14771	".III. foiz me reclot sor la teste,"	"on m'a enfoncé la tête sous l'eau trois fois,"	".III. foiz me reclot sor la teste"	"on m'a enfoncé la tête sous l'eau trois fois"													
14772	"Mout i endurai grant moleste."	"j'ai enduré les pires souffrances."															
14773	"Li blanc moine me trestrent fors,"	"Les moines blancs m'ont tiré dehors,"															
14774	"Mes tant me batirent le cors"	"mais ils m'ont tant battu sur tout le corps"															
14775	"De potences et de bastons"	"à coup de béquilles et de bâtons,"															
14776	"Qu'il me mistrent a ventrillons."	"que je me suis retrouvé à plat ventre."															
14777	"De cox me firent tel aport,"	"Ils m'ont donné une telle quantité de coups,"															
14778	"Illec me lessierent por mort"	"qu'ils m'ont laissé pour mort"															
14779	"En .I. fossé qui ert pulens ;"	"dans un fossé puant."															
14780	"Par la queue me mistrent ens"	"Ils m'ont jeté dedans par la queue,"															
14781	"Et enprés s'en furent torné."	"avant de s'en retourner."															
14782	"En ort leu m'orent ostelé,"	"Il m'ont laissé croupir là-dedans,"	"En ort leu m'orent ostelé"	"Il m'ont laissé croupir là"													
14783	"De peor dui estre crevez ;"	"j'aurais dû y crever de peur,"															
14784	"Mout ai par toi esté grevez."	"j'ai trop souffert à cause de toi."															
14785	"D'ilec me parti a grant painne,"	"Je m'en suis sorti à grand-peine,"															
14786	"A poi que ne perdi l'alainne"	"j'étais à bout de souffle,"	"A poi que ne perdi l'alainne"	"j'étais à bout de souffle"													
14787	"Encor m'en duelent tuit li membre ;"	"je le ressens encore dans tous les membres,"															
14788	"Mout sui dolenz, quant il m'en membre."	"rien que d'y repenser ça me rend malheureux."	"Mout sui dolenz, quant il m'en membre"	"rien que d'y repenser ça me rend malheureux"													
14789	"Tu me feïs aler peschier"	"Tu m'a fait pêcher aussi,"															
14790	"Et en l'eve tant acrochier,"	"je me suis retrouvé accroché dans l'eau,"															
14791	"Tote la queue i oi gelee"	"j'avais la queue toute gelée"															
14792	"Et a la glace seielee ;"	"et prise dans la glace."															
14793	"Ne m'en peüsse departir"	"Je n'ai pas pu me dégager"															
14794	"Sanz la queue perdre au partir."	"sans y laisser la queue."															
14795	"— Isengrin, dis le tu a certes"	"— Ysengrin, es-tu sérieux quand tu dis"						"x"									
14796	"Q'aies par moi eües pertes ?"	"que tu l'as perdue à cause de moi ?"															
14797	"Par foi tu paroles a force,"	"Ma foi, tu parles à tort et à travers,"	"tu paroles a force"	"tu parles à tort et à travers"													
14798	"Ta lecherie t'en fist force ;"	"c'est la gourmandise qui t'y a poussé."															
14799	"Tu estoies si besoingneus"	"Tu étais si affamé"															
14800	"Et de poisson si convoiteus,"	"et si avide de poissons,"															
14801	"Tu n'en cuidoies preu avoir."	"que tu croyais ne pas en avoir assez."															
14802	"Bien dit li vilain et savoir"	"Comme le dit très bien le paysan,"															
14803	"Que qui tot covoite tout pert ;"	"qui tout convoite tout perd."															
14804	"Ce os je dire en apert,"	"Je te le dis ouvertement,"															
14805	"Tiex cuide avoir tot a sa part"	"quiconque s'imagine avoir tout pour lui,"															
14806	"Qui du tot se desoivre et part ;"	"finit par se retrouver sans rien,"															
14807	"Mout est honniz qui tout covoite,"	"honte à celui qui veut tout,"															
14808	"Qar son gaaing pert et s'enploite."	"et qui perd ce qu'il a gagné ou acheté."	"son gaaing pert et s'enploite"	"et qui perd ce qu'il a gagné ou acheté"													
14809	"Des que tu les poissons sentis,"	"Quand tu as senti les poissons,"															
14810	"Di moi por qoi tu t'alentis"	"dis-moi, pourquoi ne t'es-tu pas contenté"															
14811	"Que .II. ou .III. en retenisses ?"	"de n'en retenir que deux ou trois ?"															
14812	"Mes por engingnié te tenisses,"	"Mais tu croyais te faire rouler"															
14813	"Se tu n'en fusses tot chargiez"	"si tu n'en prenais pas tout un chargement,"															
14814	"Et por itant fus atargiez."	"c'est ce qui t'as retardé."															
14815	"Quant de venir t'alai semondre,"	"Quand je t'ai incité à venir"															
14816	"Tu conmenças .I. poi a grondre ;"	"tu as commencé à grogner,"															
14817	"Quant je fui anuiez d'atendre,"	"et quand j'en ai eu marre d'attendre,"															
14818	"Si te lessai les poissons prandre ;"	"je t'ai laissé continuer à prendre des poissons."															
14819	"Se mal t'en vint, por coi m'en blasmes ?"	"Si un malheur t'est arrivé, alors pourquoi me blâmes-tu ?"															
14820	"Onques des poissons ne menjasmes."	"d'ailleurs on n'en a mangé aucun de ces poissons."															
14821	"— Renart, bien te ses escuser"	"— Renart, tu sais bien donner des explications,"						"x"									
14822	"Et gent par parole amuser."	"et amuser les gents avec tes discours."															
14823	"Ne porroie hui avoir retraiz"	"Mais la journée ne suffirait pas pour raconter"															
14824	"Les max que tu m'as dis et faiz ;"	"toutes les méchancetés que tu m'as dites ou faites,"															
14825	"Tout jors m'as tenu por bricon."	"car tu m'as toujours pris pour un demeuré."															
14826	"Le jor que mangai le bacon,"	"Un jour où je mangeais du jambon,"														"mangai"	
14827	"Quant talent avoie de boivre,"	"et que j'avais très soif,"															
14828	"Lors me seüs tu bien deçoivre ;"	"tu m'as bien eu encore,"															
14829	"Tu me deïs que cenelier"	"en me disant qu'on t'avait nommé"															
14830	"T'avoir on fet d'un grant celier ;"	"intendant d'un grand chai."															
14831	"En ta garde estoient li vin"	"Le vin était sous ta garde"															
14832	"Tout tens au soir et au matin."	"tout le temps, du matin jusqu'au soir."															
14833	"La me menas, dant fel cuivers,"	"Tu m'a emmené là-bas, sale félon,"															
14834	"Tu m'as chanté de maint fax vers ;"	"et tu m'as raconté des balivernes,"															
14835	"La me menas tu conme fol,"	"je t'ai suivi comme un sot,"															
14836	"Assez i oi batu le col. »"	"et on m'y a bien battu le cou. »"				"x"											
14837	"Ce dist Renart : « Or as tu tort."	"Renart lui répond : « Comme tu as tort !"			172			"x"		"Ysengrin veut la guerre"	"2015/06/ysengrin-veut-la-guerre.html"	"https://3.bp.blogspot.com/-T0UObWBhMtg/V-_S0Ix-CrI/AAAAAAAAHz8/KB83bPt4ywMmGWUQ3zjpLGmYt1abhKVTQCLcB/s320/32k-ysengrin-veut-la-guerre.jpg"					
14838	"De ce sui bien en mon recort"	"je me souviens très bien,"															
14839	"Que tant beüs que tu fus yvres,"	"tu avais tellement bu que tu étais ivre."															
14840	"Si te vantas que tu sanz livres"	"Puis tu t'es vanté que même sans livre,"															
14841	"Chanteroies bien .I. conduit."	"tu saurais chanter un motet."															
14842	"Lors conmenças a si grant bruit"	"Alors, tu t'es mis à faire un tel boucan,"															
14843	"Que tuit cil de la vile vindrent,"	"que tous ceux du village ont rappliqué"															
14844	"Qui a grant merveilles le tindrent."	"croyant à un miracle."	"Qui a grant merveilles le tindrent"	"croyant à un miracle"													
14845	"Qu'en poi je, se je m'en foui,"	"Que pouvais-je faire d'autre que m'enfuir"															
14846	"Quant j'oï venir si grant hui ?"	"quand j'ai entendu leurs hurlements ?"															
14847	"Je me mis tantost au grant cor,"	"Je me suis mis aussitôt au galop,"															
14848	"Qar de morir ai grant peor ;"	"car j'avais grand-peur de mourir,"															
14849	"Retenuz i fui a par poi,"	"j'ai même failli me faire attraper,"															
14850	"Mes je m'en ving au miex que poi."	"mais je m'en suis tiré du mieux que j'ai pu."															
14851	"Avoir nos durent entrepris,"	"Ils auraient dû nous prendre tous les deux,"															
14852	"Qar il nos avoient soupris ;"	"car il nous ont bien surpris."															
14853	"Se fus batuz, a moi qu'en tient ?"	"Si tu t'es fait battre, qu'y puis-je ?"															
14854	"Qui mal chace, mal li avient."	"qui mal cherche, mal trouve."															
14855	"— Renart, Renart, mout ses de boule,"	"— Renart, Renart, tu t'y connais en tromperie,"						"x"									
14856	"Tu t'ez jetez de mainte foule."	"tu t'es tiré de maintes embrouilles."	"foule"	"embrouilles"													
14857	"Renart, fait il, de pute part,"	"Renart, fait-il, sale engeance,"															
14858	"Ja me tenis tu por musart,"	"tu m'as pris pour un sot aussi,"															
14859	"Quant tu me feïs grant coronne"	"quand tu m'as fait la tonsure"															
14860	"D'eve chaude, conme a personne,"	"comme à personne avec de l'eau chaude,"															
14861	"Si grant, si ample et si lee ;"	"une si grande et si large,"															
14862	"La teste en ai toute pelee,"	"que j'en ai la tête encore toute pelée,"															
14863	"Ne me remest poil sor les joes."	"il ne me reste même plus de poils sur les joues."															
14864	"Tu t'en alas faisant tes moes ;"	"Puis tu t'en es allé en faisant tes grimaces,"															
14865	"De moi devoies moine fere."	"alors que tu devais faire de moi un moine."															
14866	"Certes mout es de pute afere,"	"Tu as vraiment une sale nature,"															
14867	"Par toi est ma char afoiblie."	"à cause de toi j'ai la chair meurtrie."	"char afoiblie"	"chair meurtrie"													
14868	"Aillors te crui, si fis folie ;"	"J'ai été bien fou de te croire une autre fois,"															
14869	".I. tronçon me donnas d'anguille"	"quand tu m'as donné un morceau d'anguille,"															
14870	"Qu'eüs conquise par ta guille,"	"que tu avais soi-disant gagnée par la ruse,"															
14871	"Por moi fere plus alechier ;"	"pour m'allécher et me tenter."															
14872	"En maint lieu m'as fet trebuchier."	"Tu m'as fait trébucher tant de fois !"															
14873	"Je demandai ou les trovas ;"	"Je t'ai demandé où tu les avais trouvées,"															
14874	"Por moi deçoivre controuvas"	"et pour me tromper, tu as inventé"															
14875	"Que charretier tant en portoient,"	"que des charretiers en transportaient tellement"															
14876	"A bien petit ne les gitoient ;"	"qu'ils ont bien failli en jeter,"															
14877	"A poi n'avoie trop targié,"	"et que j'avais trop tardé à venir"															
14878	"Il s'en aloient bien chargié."	"alors qu'ils s'en allaient si bien chargés."															
14879	"Des anguilles i avoit tant ;"	"Il y avait tant d'anguilles"															
